ID;Active (0/1);Name *;Categories (x,y,z);Wholesale price;Reference #;Visibility;Unit price;Short description;Description;Tags (x,y,z);Meta title;Meta keywords;Meta description;Available for order (0 = No, 1 = Yes);Show price (0 = No, 1 = Yes);Image URLs (x,y,z...)
425;1;ADAPTATEUR PRISE AMERICAINE TYPE A (I I) A PRISE EUROPEENNE TYPE C (O O);Prises, Adaptateurs, Connectique, Périphériques; 500    ;;both;Ariary;ADAPTATEUR PRISE AMERICAINE TYPE A (I I) A PRISE EUROPEENNE TYPE C (O O);ADAPTATEUR PRISE AMERICAINE TYPE A (I I) A PRISE EUROPEENNE TYPE C (O O);;ADAPTATEUR PRISE AMERICAINE TYPE A (I I) A PRISE EUROPEENNE TYPE C (O O);ADAPTATEUR PRISE AMERICAINE TYPE A (I I) A PRISE EUROPEENNE TYPE C (O O);ADAPTATEUR PRISE AMERICAINE TYPE A (I I) A PRISE EUROPEENNE TYPE C (O O);1;0;
426;1;ADAPTATEUR PRISE UNIVERSELLE A PRISE EUROPEENNE TYPE E (AVEC TERRE);Prises, Adaptateurs, Connectique, Périphériques; 2 070    ;;both;Ariary;ADAPTATEUR PRISE UNIVERSELLE A PRISE EUROPEENNE TYPE E (AVEC TERRE);ADAPTATEUR PRISE UNIVERSELLE A PRISE EUROPEENNE TYPE E (AVEC TERRE);;ADAPTATEUR PRISE UNIVERSELLE A PRISE EUROPEENNE TYPE E (AVEC TERRE);ADAPTATEUR PRISE UNIVERSELLE A PRISE EUROPEENNE TYPE E (AVEC TERRE);ADAPTATEUR PRISE UNIVERSELLE A PRISE EUROPEENNE TYPE E (AVEC TERRE);1;0;
427;1;ADAPTATEUR PRISE UNIVERSELLE COMPATIBLE PLUS DE 150 PAYS;Prises, Adaptateurs, Connectique, Périphériques; 10 060    ;;both;Ariary;ADAPTATEUR PRISE UNIVERSELLE COMPATIBLE PLUS DE 150 PAYS;ADAPTATEUR PRISE UNIVERSELLE COMPATIBLE PLUS DE 150 PAYS;;ADAPTATEUR PRISE UNIVERSELLE COMPATIBLE PLUS DE 150 PAYS;ADAPTATEUR PRISE UNIVERSELLE COMPATIBLE PLUS DE 150 PAYS;ADAPTATEUR PRISE UNIVERSELLE COMPATIBLE PLUS DE 150 PAYS;1;0;
428;1;ADAPTATEUR PS2 MALE A USB FEMELLE POUR SOURIS;Adaptateurs, Connectique, Périphériques; 1 210    ;;both;Ariary;ADAPTATEUR PS2 MALE A USB FEMELLE POUR SOURIS;ADAPTATEUR PS2 MALE A USB FEMELLE POUR SOURIS;;ADAPTATEUR PS2 MALE A USB FEMELLE POUR SOURIS;ADAPTATEUR PS2 MALE A USB FEMELLE POUR SOURIS;ADAPTATEUR PS2 MALE A USB FEMELLE POUR SOURIS;1;0;
429;1;ADAPTATEUR RJ45 FEMELLE/FEMELLE POUR CONNECTER 2 CABLES RJ45;Adaptateurs, Connectique, Périphériques; 510    ;;both;Ariary;ADAPTATEUR RJ45 FEMELLE/FEMELLE POUR CONNECTER 2 CABLES RJ45;ADAPTATEUR RJ45 FEMELLE/FEMELLE POUR CONNECTER 2 CABLES RJ45;;ADAPTATEUR RJ45 FEMELLE/FEMELLE POUR CONNECTER 2 CABLES RJ45;ADAPTATEUR RJ45 FEMELLE/FEMELLE POUR CONNECTER 2 CABLES RJ45;ADAPTATEUR RJ45 FEMELLE/FEMELLE POUR CONNECTER 2 CABLES RJ45;1;0;
430;1;ADAPTATEUR USB A BLUETOOTH MOD.EXTRA SLIM;Multimédia, Adaptateurs, Connectique, Périphériques; 6 070    ;;both;Ariary;ADAPTATEUR USB A BLUETOOTH MOD.EXTRA SLIM;ADAPTATEUR USB A BLUETOOTH MOD.EXTRA SLIM;;ADAPTATEUR USB A BLUETOOTH MOD.EXTRA SLIM;ADAPTATEUR USB A BLUETOOTH MOD.EXTRA SLIM;ADAPTATEUR USB A BLUETOOTH MOD.EXTRA SLIM;1;0;
431;1;ADAPTATEUR USB A IDE / SATA USB2.0 AVEC ALIMENTATION;Alimentation, Câbles, Connectique, Périphériques; 28 900    ;;both;Ariary;ADAPTATEUR USB A IDE / SATA USB2.0 AVEC ALIMENTATION;ADAPTATEUR USB A IDE / SATA USB2.0 AVEC ALIMENTATION;;ADAPTATEUR USB A IDE / SATA USB2.0 AVEC ALIMENTATION;ADAPTATEUR USB A IDE / SATA USB2.0 AVEC ALIMENTATION;ADAPTATEUR USB A IDE / SATA USB2.0 AVEC ALIMENTATION;1;0;
432;1;ADAPTATEUR USB MALE A PS2 2SORTIES FEMELLE;USB, Câbles, Connectique, Périphériques; 3 320    ;;both;Ariary;ADAPTATEUR USB MALE A PS2 2SORTIES FEMELLE;ADAPTATEUR USB MALE A PS2 2SORTIES FEMELLE;;ADAPTATEUR USB MALE A PS2 2SORTIES FEMELLE;ADAPTATEUR USB MALE A PS2 2SORTIES FEMELLE;ADAPTATEUR USB MALE A PS2 2SORTIES FEMELLE;1;0;
433;1;ADAPTATEUR USB MALE A PS2 FEMELLE POUR SOURIS;USB, Câbles, Connectique, Périphériques; 1 210    ;;both;Ariary;ADAPTATEUR USB MALE A PS2 FEMELLE POUR SOURIS;ADAPTATEUR USB MALE A PS2 FEMELLE POUR SOURIS;;ADAPTATEUR USB MALE A PS2 FEMELLE POUR SOURIS;ADAPTATEUR USB MALE A PS2 FEMELLE POUR SOURIS;ADAPTATEUR USB MALE A PS2 FEMELLE POUR SOURIS;1;0;
434;1;ADAPTATEUR VGA MALE A DVI FEMELLE INFOPRO;Multimédia, Adaptateurs, Connectique, Périphériques; 8 320    ;;both;Ariary;ADAPTATEUR VGA MALE A DVI FEMELLE INFOPRO;ADAPTATEUR VGA MALE A DVI FEMELLE INFOPRO;;ADAPTATEUR VGA MALE A DVI FEMELLE INFOPRO;ADAPTATEUR VGA MALE A DVI FEMELLE INFOPRO;ADAPTATEUR VGA MALE A DVI FEMELLE INFOPRO;1;0;
