ID;Active (0/1);Name *;Categories (x,y,z...);Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Image alt texts (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
33;1;CABLE USB RETRACTABLE AVEC 4 SORTIES (USB 3.0/IPHONE LIGHTNING/MICRO USB/IPHONE 4);; 10 210    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;1;CABLE USB RETRACTABLE AVEC SORTIE IPHONE5 ET MICRO USB POUR TEL/TABLETTE ;; 8 230    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;1;CABLE POUR CONNECTER CONSOLE XBOX A LA TV (AV);; 26 400    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;1;CABLE POUR CONNECTER CONSOLE WII A LA TV;; 21 340    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;1;CABLE POUR CONNECTER ET CHARGER MANETTE SANS FIL XBOX;; 15 720    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;1;CABLE POUR CONNECTER ET CHARGER MANETTE SANS FIL XBOX (AVEC BATTERIE);; 23 450    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;1;CHARGEUR POUR CONSOLE SONY PSP;; 10 980    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;1;CHARGEUR POUR CONSOLE NINTENDO DSXL/DS3D/DS3DXL;; 10 060    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;1;CHARGEUR ALLUME CIGARE LDNIO MOD.DL-C12 2.1A A/CABLE MICRO USB ;; 9 440    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;1;CHARGEUR ALLUME CIGARE LDNIO MOD.DL-C22 2PORTS 2.1A A/CABLE MICRO USB;; 13 820    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;1;CHARGEUR ALLUME CIGARE LDNIO MOD.DL-C29 2PORTS 3,4A A/CABLE MICRO USB ;; 16 220    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;1;CHARGEUR POUR BATTERIE TELEPHONE PISEN HXL MOD.TS-UC029;; 21 440    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;1;CHARGEUR SECTEUR USB 1A MOD. IPHONE COMPAT. TEL ET TABLETTE… ;; 8 640    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;1;CHARGEUR SECTEUR USB 2A MOD.SAMSUNG COMPAT. TEL ET TABLETTE… ;; 8 800    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;1;CHARGEUR SECTEUR USB 2A MOD.SAMSUNG CHARGE RAPIDE COMPAT. TEL ET TABLETTE… ;; 17 380    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;1;CHARGEUR SECTEUR USB LDNIO MOD.DL-A2202 2PORTS 2,4A ;; 14 420    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;1;CHARGEUR SECTEUR USB LDNIO MOD.DL-AC59 2PORTS 2.4A ;; 14 660    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;1;CHARGEUR SECTEUR USB LDNIO MOD.DL-A3301 3PORTS 3,1A ;; 18 020    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;1;CHARGEUR SECTEUR USB LDNIO MOD.DL-A4403 4PORTS 4,4A ;; 23 440    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;1;CHARGEUR SECTEUR USB ET CABLE ORIGINAL SAMSUNG FAST CHARGE NEWCHARGEUR SECTEUR USB ET CABLE ORIGINAL SAMSUNG FAST CHARGE NEW;; 53 030    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;1;CHARGEUR SECTEUR USB ORIGINAL APPLE POUR IPAD ;; 49 380    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;1;CHARGEUR SECTEUR USB ORIGINAL APPLE POUR IPHONE ;; 45 720    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
